model,accuracy,balanced_accuracy,f1_macro,f1_weighted
RandomForest,0.9308510638297872,0.7776902230560767,0.7994875676281781,0.9235222598174553
GradientBoosting,0.9840425531914894,0.9772079772079773,0.968431693686715,0.9840642824431886
XGBoost,0.9787234042553191,0.9163288563288562,0.9316735053547198,0.9785095694473345
